check_id,protocol_section,layer,domain_scope,variables_or_fields,plain_english_rule,logic_or_threshold,severity_when_failed,demo_action,error_message_template
DM-001,2.0 Key eligibility,Protocol/basic,DM,"AGE, AGEU",Subject must be 18 years or older at screening.,AGE >= 18 when AGEU = YEARS,Critical,Block save,Subject does not meet minimum age eligibility.
DM-002,2.0 Key eligibility,Protocol/basic,DM,"RFICDTC, screening_date",Informed consent must be before or on first screening assessment.,RFICDTC <= screening_date,Critical,Block save,Screening assessment occurred before informed consent.
TU-001,4.0 Lesion rules,SDTM/intra-domain,TU,"USUBJID, TULNKID, TULOC, TULAT, TUDIR",Same baseline lesion link ID should not describe two different lesion identities for a subject.,No conflicting site/laterality/detail for same USUBJID + TULNKID,Warning in this demo,Raise query,Lesion ID is reused with conflicting identity; verify lesion numbering.
TU-TR-001,4.0 Lesion rules,Cross-domain,TU/TR,"TULNKID, TRLNKID",Every TR lesion link ID must be traceable to a known TU lesion or a documented new lesion.,"TR.TRLNKID exists in TU.TULNKID for subject, or TUORRES = NEW",Warning in this demo,Raise query,Tumor result is recorded for a lesion not identified in TU.
TR-004,3.0 Schedule,Protocol/cross-visit,TR/RS,"TRDTC, RSDTC, VISIT",Tumor and response assessment should be within the protocol visit window.,Actual date within nominal date ±7 days,Warning,Raise query,Assessment date falls outside protocol window.
TR-003,3.0 Schedule,Cross-visit,TR,TRMETHOD,Tumor assessment method should remain consistent unless justified.,Method should match baseline/prior method or have justification,Warning,Raise query,Tumor imaging method changed across visits.
TR-RS-001,5.0 RECIST rules,Medical analysis / cross-domain,TR/RS,"TRSTRESN, RSSTRESC",PR must be supported by at least 30% target lesion sum decrease from baseline and no new lesions.,Percent change from baseline <= -30% for PR,Critical,Block save,Response is PR but target lesion reduction does not meet protocol threshold.
TU/TR-RS-002,5.0 RECIST rules,Medical analysis / cross-domain,TU/TR/RS,"TUORRES, TRSTRESC, RSSTRESC","If a new lesion is present, response cannot remain CR, PR, or SD without adjudication.",New lesion present => overall response usually PD,Critical,Block save,New lesion conflicts with new lesion/overall response assessment.
TR-RS-003,5.0 RECIST rules,Medical analysis / cross-domain,TR/RS,"TRORRES, RSSTRESC",Overall CR requires target disappearance and no persistent non-target disease.,Overall CR only if target lesions resolved and non-target disease absent,Critical,Block save,Overall CR conflicts with persistent non-target disease.
LB-ADLB-001,6.0 Lab assessments,Medical analysis / ADLB derivation,LB,"LBTESTCD=BILI, DBILI; LBSTRESN","Direct bilirubin is a component of total bilirubin and cannot exceed total bilirubin for the same subject, visit, and collection date.",DBILI <= BILI for matched USUBJID + VISIT + LBDTC,Critical,Block save before ADaM output,"Direct bilirubin exceeds total bilirubin, which is physiologically impossible."
LB-002,6.0 Lab assessments,Standardization,LB,"LBORRESU, LBSTRESU",Lab units should be standardized before analysis derivations.,Units map to controlled standard units per test,Suggested Change,Auto-standardize,Lab unit was standardized for analysis.
ALL-SEV-001,7.0 Query handling,Workflow,All,severity,Critical blocks save; warning allows query; suggestion is non-blocking.,Severity mapping controls UI behavior,Info,Drive UI state,Use severity to determine save/query/suggestion behavior.
